freq,unit,geo\TIME_PERIOD	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 
M,PC,AT	-2.7 	-0.8 	4.9 	10.5 	1.5 	1.9 	2.2 	4.3 	8.7 	11.6 	47.3 	38.0 	8.8 	-3.4 	-0.2 	11.4 	8.7 	11.8 	5.5 	8.8 	12.3 	12.2 	34.3 	19.8 p	-0.5 p	5.0 p	17.4 p	20.8 p	12.0 p	16.0 p	20.2 p	13.5 p	14.7 p	20.7 p	16.1 p	30.1 p	14.0 p	0.5 p	9.1 p	13.2 p
M,PC,BE	-4.1 	-4.9 	11.8 	73.1 	8.1 	-1.1 	-7.1 	17.8 	1.7 	22.5 	58.8 	18.9 	1.5 	-9.2 	-10.5 	6.6 	4.9 	0.9 	-1.8 	-0.8 	3.0 	11.2 	16.7 	13.1 	-0.5 p	0.1 p	0.7 p	16.5 p	4.4 p	6.9 p	5.6 p	10.5 p	6.5 p	10.3 p	2.1 p	19.8 p	5.5 p	-4.8 p	-2.4 p	-0.5 p
M,PC,BG	-11.8 	-0.2 	-7.0 	-4.2 	-3.0 	-0.4 	5.5 	5.9 	4.9 	12.6 	94.0 	74.3 	0.1 	5.7 	53.4 	76.9 	26.5 	8.8 	7.9 	19.7 	51.4 	74.0 	88.5 	43.2 	27.7 	47.0 	18.9 	7.0 	-0.6 	-6.2 	3.2 	9.3 	5.3 	1.1 	-0.8 	-5.1 p	-13.2 p	-9.4 p	-9.9 p	-8.7 p
M,PC,CH	-3.7 p	-0.6 p	12.1 p	27.6 p	-1.4 p	1.5 p	1.6 p	4.9 p	4.5 p	15.2 p	66.1 p	59.9 p	23.8 p	-5.0 p	-5.5 p	3.3 p	3.4 p	2.8 p	2.6 p	8.9 p	12.7 p	7.1 p	16.5 p	25.7 p	5.1 p	4.0 p	14.3 p	14.6 p	5.9 p	13.8 p	22.8 p	16.2 p	9.8 p	16.0 p	14.1 p	25.3 p	5.9 p	-4.3 p	4.4 p	7.6 p
M,PC,CY	14.2 	0.4 	9.1 	3.5 	26.4 	9.2 	9.1 	1.8 	8.5 	9.0 	13.8 	24.9 	10.5 	-3.9 	6.7 	31.2 	16.5 	19.1 	41.8 	54.9 	31.8 	20.7 	26.0 	32.0 	39.2 p	29.3 p	42.5 p	36.8 p	16.0 p	16.3 p	30.3 p	17.3 p	17.6 p	21.8 p	28.9 p	21.0 p	10.3 p	14.6 p	11.8 p	3.5 p
M,PC,CZ	-2.0 	0.0 	-0.9 	2.9 	-1.3 	3.9 	4.1 	6.9 	11.4 	52.8 	75.8 	44.9 	54.6 	41.1 	62.1 	31.1 	7.4 	1.2 	0.0 	-0.6 	4.8 	8.8 	43.4 	40.9 	5.3 	6.0 	3.2 	11.3 	4.1 	2.4 	5.0 	7.9 	11.6 	10.8 	6.5 	23.7 p	8.4 p	-7.0 p	-4.5 p	-1.1 p
M,PC,DE	-2.4 	-4.3 	-2.6 	9.0 	1.7 	2.5 	-0.5 	7.2 	6.0 	5.4 	13.0 	31.0 	23.4 	-1.7 	-9.0 	7.1 	8.2 	8.7 	3.5 	4.3 	11.4 	12.4 	23.4 	24.2 p	3.5 p	-1.0 p	4.0 p	12.9 p	9.6 p	12.0 p	16.4 p	17.6 p	15.9 p	24.4 p	16.4 p	38.2 p	14.4 p	-0.8 p	4.3 p	9.5 p
M,PC,DK	-2.1 	-7.0 	-3.9 	6.4 	-0.9 	0.8 	2.2 	1.5 	4.2 	1.8 	5.5 	10.6 	10.8 	-7.3 	-12.1 	-2.3 	5.8 	6.1 	8.2 	12.4 	11.1 	13.9 	14.0 	17.9 	10.5 p	6.8 p	6.3 p	10.6 p	4.8 p	10.9 p	10.6 p	14.1 p	7.3 p	12.8 p	7.1 p	23.2 p	11.8 p	-1.9 p	0.8 p	8.9 p
M,PC,EE	-9.5 	-5.7 	-0.9 	5.0 	1.2 	1.9 	3.6 	4.1 	7.3 	0.7 	5.8 	13.6 	12.0 	8.3 	29.6 	26.9 	13.1 	19.1 	13.8 	9.3 	19.6 	25.7 	38.9 	16.3 	6.2 p	20.7 p	16.2 p	5.0 p	3.3 p	17.8 p	12.7 p	12.4 p	16.6 p	9.1 p	14.5 p	24.1 p	10.3 p	-7.4 p	-6.6 p	3.7 p
M,PC,EL	0.3 	6.1 	7.2 	0.9 	3.0 	-1.9 	5.2 	6.1 	9.9 	3.8 	27.6 	19.5 	-7.8 p	-2.8 p	16.1 p	24.8 p	21.4 p	12.8 p	21.3 p	34.3 p	24.9 p	18.0 p	31.3 p	32.3 p	19.9 p	20.2 p	24.9 p	21.4 p	12.7 p	6.8 p	23.3 p	18.8 p	10.8 p	7.2 p	9.6 p	10.7 p	4.6 p	8.0 p	8.0 p	9.2 p
