duration,deg_urb,sex,age,unit,geo\time	2019 	2014 
NEV,DEG1,F,TOTAL,PC,AT	40.4 	41.0 
NEV,DEG1,F,TOTAL,PC,BE	79.9 	88.0 u
NEV,DEG1,F,TOTAL,PC,BG	95.4 	91.2 
NEV,DEG1,F,TOTAL,PC,CY	95.2 	94.4 
NEV,DEG1,F,TOTAL,PC,CZ	60.1 	61.1 
NEV,DEG1,F,TOTAL,PC,DE	46.7 	43.6 
NEV,DEG1,F,TOTAL,PC,DK	59.4 	71.4 
NEV,DEG1,F,TOTAL,PC,EE	73.2 	89.2 
NEV,DEG1,F,TOTAL,PC,EL	83.1 	79.2 
NEV,DEG1,F,TOTAL,PC,ES	76.6 	86.5 
NEV,DEG1,F,TOTAL,PC,EU27_2020	68.1 	69.9 
NEV,DEG1,F,TOTAL,PC,EU28	: 	70.8 
NEV,DEG1,F,TOTAL,PC,FI	79.3 	82.4 
NEV,DEG1,F,TOTAL,PC,FR	75.0 	65.1 
NEV,DEG1,F,TOTAL,PC,HR	67.4 	70.4 
NEV,DEG1,F,TOTAL,PC,HU	60.9 	60.3 
NEV,DEG1,F,TOTAL,PC,IE	80.6 	82.8 
NEV,DEG1,F,TOTAL,PC,IS	89.5 	90.1 
NEV,DEG1,F,TOTAL,PC,IT	63.1 	69.2 
NEV,DEG1,F,TOTAL,PC,LT	53.4 	73.7 
NEV,DEG1,F,TOTAL,PC,LU	57.2 	61.3 
NEV,DEG1,F,TOTAL,PC,LV	51.6 	48.1 
NEV,DEG1,F,TOTAL,PC,MT	80.6 	87.7 
NEV,DEG1,F,TOTAL,PC,NL	68.7 	86.5 
NEV,DEG1,F,TOTAL,PC,NO	92.1 	92.5 
NEV,DEG1,F,TOTAL,PC,PL	77.6 	80.5 
NEV,DEG1,F,TOTAL,PC,PT	60.2 	64.5 
NEV,DEG1,F,TOTAL,PC,RO	93.6 	95.7 
NEV,DEG1,F,TOTAL,PC,RS	0 	: 
NEV,DEG1,F,TOTAL,PC,SE	66.6 	72.0 
NEV,DEG1,F,TOTAL,PC,SI	58.8 	63.6 
NEV,DEG1,F,TOTAL,PC,SK	56.0 	72.0 
NEV,DEG1,F,TOTAL,PC,TR	0 	0 
NEV,DEG1,F,TOTAL,PC,UK	: 	75.6 
NEV,DEG1,F,Y15-24,PC,AT	74.2 	81.7 
NEV,DEG1,F,Y15-24,PC,BE	99.5 	97.7 u
NEV,DEG1,F,Y15-24,PC,BG	98.6 	95.7 
NEV,DEG1,F,Y15-24,PC,CY	98.8 	99.3 
NEV,DEG1,F,Y15-24,PC,CZ	94.7 	93.0 
NEV,DEG1,F,Y15-24,PC,DE	82.0 	82.6 
NEV,DEG1,F,Y15-24,PC,DK	84.1 	85.7 
NEV,DEG1,F,Y15-24,PC,EE	83.6 	92.6 
NEV,DEG1,F,Y15-24,PC,EL	93.1 	85.3 
NEV,DEG1,F,Y15-24,PC,ES	93.0 	93.4 
NEV,DEG1,F,Y15-24,PC,EU27_2020	90.3 	89.4 
NEV,DEG1,F,Y15-24,PC,EU28	: 	89.9 
NEV,DEG1,F,Y15-24,PC,FI	90.3 	93.4 
NEV,DEG1,F,Y15-24,PC,FR	96.8 	87.0 
NEV,DEG1,F,Y15-24,PC,HR	96.8 u	76.2 
NEV,DEG1,F,Y15-24,PC,HU	78.6 	79.1 
NEV,DEG1,F,Y15-24,PC,IE	95.0 	92.0 
NEV,DEG1,F,Y15-24,PC,IS	99.0 u	96.2 u
NEV,DEG1,F,Y15-24,PC,IT	92.1 	95.8 
NEV,DEG1,F,Y15-24,PC,LT	82.1 	96.7 
NEV,DEG1,F,Y15-24,PC,LU	69.8 u	90.0 u
NEV,DEG1,F,Y15-24,PC,LV	76.2 	69.3 
NEV,DEG1,F,Y15-24,PC,MT	93.1 	98.9 
NEV,DEG1,F,Y15-24,PC,NL	94.0 	94.8 
NEV,DEG1,F,Y15-24,PC,NO	97.3 	97.7 
NEV,DEG1,F,Y15-24,PC,PL	88.1 	89.2 
NEV,DEG1,F,Y15-24,PC,PT	90.4 	92.8 
NEV,DEG1,F,Y15-24,PC,RO	99.4 	98.1 
NEV,DEG1,F,Y15-24,PC,RS	0 	: 
NEV,DEG1,F,Y15-24,PC,SE	79.2 	87.5 
NEV,DEG1,F,Y15-24,PC,SI	87.1 	90.4 
NEV,DEG1,F,Y15-24,PC,SK	89.7 u	92.6 
NEV,DEG1,F,Y15-24,PC,TR	0 	0 
NEV,DEG1,F,Y15-24,PC,UK	: 	92.2 
NEV,DEG1,F,Y15-29,PC,AT	72.5 	: 
NEV,DEG1,F,Y15-29,PC,BE	98.9 	: 
NEV,DEG1,F,Y15-29,PC,BG	98.5 	: 
NEV,DEG1,F,Y15-29,PC,CY	97.7 	: 
NEV,DEG1,F,Y15-29,PC,CZ	95.3 	: 
NEV,DEG1,F,Y15-29,PC,DE	78.3 	: 
NEV,DEG1,F,Y15-29,PC,DK	83.1 	: 
NEV,DEG1,F,Y15-29,PC,EE	82.4 	: 
NEV,DEG1,F,Y15-29,PC,EL	88.7 	: 
NEV,DEG1,F,Y15-29,PC,ES	91.8 	: 
NEV,DEG1,F,Y15-29,PC,EU27_2020	88.1 	: 
NEV,DEG1,F,Y15-29,PC,FI	87.5 	: 
NEV,DEG1,F,Y15-29,PC,FR	96.2 	: 
NEV,DEG1,F,Y15-29,PC,HR	90.7 	: 
NEV,DEG1,F,Y15-29,PC,HU	74.4 	: 
NEV,DEG1,F,Y15-29,PC,IE	93.4 	: 
NEV,DEG1,F,Y15-29,PC,IS	96.1 	: 
NEV,DEG1,F,Y15-29,PC,IT	90.8 	: 
NEV,DEG1,F,Y15-29,PC,LT	83.3 	: 
NEV,DEG1,F,Y15-29,PC,LU	73.5 	: 
NEV,DEG1,F,Y15-29,PC,LV	68.5 	: 
NEV,DEG1,F,Y15-29,PC,MT	92.5 	: 
NEV,DEG1,F,Y15-29,PC,NL	90.5 	: 
NEV,DEG1,F,Y15-29,PC,NO	96.2 	: 
NEV,DEG1,F,Y15-29,PC,PL	82.7 	: 
NEV,DEG1,F,Y15-29,PC,PT	89.4 	: 
NEV,DEG1,F,Y15-29,PC,RO	98.4 	: 
NEV,DEG1,F,Y15-29,PC,RS	0 	: 
NEV,DEG1,F,Y15-29,PC,SE	78.0 	: 
NEV,DEG1,F,Y15-29,PC,SI	87.4 	: 
NEV,DEG1,F,Y15-29,PC,SK	86.8 	: 
NEV,DEG1,F,Y15-29,PC,TR	0 	: 
NEV,DEG1,F,Y15-44,PC,AT	: 	60.8 
NEV,DEG1,F,Y15-44,PC,BE	: 	96.1 u
NEV,DEG1,F,Y15-44,PC,BG	: 	94.4 
NEV,DEG1,F,Y15-44,PC,CY	: 	97.6 
NEV,DEG1,F,Y15-44,PC,CZ	: 	86.5 
NEV,DEG1,F,Y15-44,PC,DE	: 	72.7 
NEV,DEG1,F,Y15-44,PC,DK	: 	85.5 
NEV,DEG1,F,Y15-44,PC,EE	: 	91.4 
NEV,DEG1,F,Y15-44,PC,EL	: 	81.9 
NEV,DEG1,F,Y15-44,PC,ES	: 	92.0 
NEV,DEG1,F,Y15-44,PC,EU27_2020	: 	84.5 
NEV,DEG1,F,Y15-44,PC,EU28	: 	85.6 
NEV,DEG1,F,Y15-44,PC,FI	: 	89.8 
NEV,DEG1,F,Y15-44,PC,FR	: 	84.2 
NEV,DEG1,F,Y15-44,PC,HR	: 	85.1 
NEV,DEG1,F,Y15-44,PC,HU	: 	70.9 
NEV,DEG1,F,Y15-44,PC,IE	: 	88.1 
NEV,DEG1,F,Y15-44,PC,IS	: 	93.4 
NEV,DEG1,F,Y15-44,PC,IT	: 	88.5 
NEV,DEG1,F,Y15-44,PC,LT	: 	93.9 
NEV,DEG1,F,Y15-44,PC,LU	: 	65.2 
NEV,DEG1,F,Y15-44,PC,LV	: 	58.9 
NEV,DEG1,F,Y15-44,PC,MT	: 	96.1 
NEV,DEG1,F,Y15-44,PC,NL	: 	90.8 
NEV,DEG1,F,Y15-44,PC,NO	: 	95.6 
NEV,DEG1,F,Y15-44,PC,PL	: 	84.3 
NEV,DEG1,F,Y15-44,PC,PT	: 	84.8 
NEV,DEG1,F,Y15-44,PC,RO	: 	97.6 
NEV,DEG1,F,Y15-44,PC,SE	: 	82.9 
NEV,DEG1,F,Y15-44,PC,SI	: 	89.7 
NEV,DEG1,F,Y15-44,PC,SK	: 	85.1 
NEV,DEG1,F,Y15-44,PC,TR	: 	0 
