unit,sex,icd10,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PC,F,C18-C21,CZ	: 	28.50 	31.70 	31.80 	32.00 	32.50 	34.20 	32.80 	28.60 	27.50 	26.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,DE	: 	: 	: 	30.40 d	29.70 d	27.60 d	27.90 d	26.00 d	24.10 d	27.50 d	26.80 d	25.90 d	24.70 d	24.00 d	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,EE	: 	54.40 	57.80 	54.70 	39.80 	46.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,FI	: 	82.30 	83.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,FR	: 	30.00 	31.80 	31.90 	33.40 	34.40 	30.80 	23.70 	31.50 	32.80 	33.70 	34.00 	36.00 	36.20 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,HR	: 	26.60 	22.00 	: 	20.40 	: 	: 	: 	: 	21.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,IE	: 	37.90 dp	47.44 d	46.20 d	47.70 d	44.70 d	44.10 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,IT	: 	36.00 	41.90 	44.90 	43.80 	42.70 	44.30 	44.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,LT	51.90 dp	50.80 d	59.30 d	56.10 d	55.40 d	52.50 d	53.50 d	42.60 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,ME	: 	9.86 	26.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,MT	: 	: 	64.70 	59.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,NL	: 	74.20 	74.10 	75.40 	75.00 	75.00 	74.40 	72.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,SI	64.50 	65.70 	67.00 	65.40 	63.70 	65.40 	59.80 	62.30 	61.40 	63.60 	57.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C18-C21,TR	: 	17.50 	25.64 	26.44 	27.60 	24.98 	23.60 	16.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C50,BE	: 	: 	59.70 	60.20 	61.00 	61.80 	61.60 	61.90 	62.30 	62.70 	62.70 	61.80 	62.50 	62.20 	62.00 	60.10 	56.60 	55.90 	53.70 	54.00 	50.00 	: 
PC,F,C50,BG	: 	: 	: 	: 	20.55 	21.20 b	13.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C50,CY	: 	: 	31.35 d	33.21 d	34.79 d	35.15 d	35.48 d	33.64 d	31.72 d	31.28 d	31.28 d	: 	: 	31.76 d	31.76 d	: 	: 	: 	: 	: 	: 	: 
PC,F,C50,CZ	: 	58.60 	60.40 	60.30 	60.80 	60.40 	61.00 	60.60 	57.70 	54.40 	52.20 b	49.50 	48.40 	49.50 	42.70 	35.70 	31.50 	25.80 	: 	: 	: 	: 
PC,F,C50,DE	: 	: 	49.90 	50.10 	49.40 	51.00 	51.60 	54.30 	56.60 	56.30 	55.90 	53.70 	54.40 	53.00 	53.60 	57.30 	: 	: 	: 	: 	: 	: 
PC,F,C50,DK	: 	83.70 	: 	83.20 	: 	82.10 	: 	84.30 	: 	83.00 	: 	77.40 	: 	73.70 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C50,EE	: 	53.40 	55.90 	52.80 	55.90 d	56.30 d	50.80 d	58.00 d	53.40 d	52.00 d	51.00 d	62.00 d	52.00 d	51.00 d	44.00 d	43.00 d	42.00 d	41.00 d	37.00 d	: 	: 	: 
PC,F,C50,FI	: 	80.50 e	81.60 	81.40 	81.90 	82.60 	82.70 	82.90 	83.30 	83.00 	84.80 	84.80 	85.50 	84.90 	84.40 b	86.30 	87.00 	87.40 	87.90 	87.60 	87.40 	: 
PC,F,C50,FR	: 	42.60 	48.80 	50.30 	49.90 	50.60 	51.40 	52.00 	51.60 	52.80 	52.90 	52.30 	52.70 	52.00 	50.10 	48.50 	44.30 	37.70 	: 	: 	: 	: 
PC,F,C50,HR	56.00 	56.00 	60.00 	64.00 	60.00 	60.00 	60.00 	60.00 	60.00 	60.00 	57.00 	57.00 	57.00 	63.00 	63.00 	63.00 	: 	: 	: 	: 	: 	: 
