unit,source,icd10,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PC,PRG,C50,BE	: 	: 	59.70 	60.20 	61.00 	61.80 	61.60 	61.90 	62.30 	62.70 	62.70 	61.80 	62.50 	62.20 	62.00 	60.10 	56.60 	55.90 	53.70 	54.00 	50.00 	: 
PC,PRG,C50,BG	: 	: 	: 	: 	20.55 	21.20 b	13.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C50,CY	: 	: 	31.35 d	33.21 d	34.79 d	35.15 d	35.48 d	33.64 d	31.72 d	31.28 d	31.28 d	: 	: 	31.76 d	31.76 d	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C50,CZ	: 	58.60 	60.40 	60.30 	60.80 	60.40 	61.00 	60.60 	57.70 	54.40 	52.20 b	49.50 	48.40 	49.50 	42.70 	35.70 	31.50 	25.80 	: 	: 	: 	: 
PC,PRG,C50,DE	: 	: 	49.90 	50.10 	49.40 	51.00 	51.60 	54.30 	56.60 	56.30 	55.90 	53.70 	54.40 	53.00 	53.60 	57.30 	: 	: 	: 	: 	: 	: 
PC,PRG,C50,DK	: 	83.70 	: 	83.20 	: 	82.10 	: 	84.30 	: 	83.00 	: 	77.40 	: 	73.70 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C50,EE	: 	53.40 	55.90 	52.80 	55.90 d	56.30 d	50.80 d	58.00 d	53.40 d	52.00 d	51.00 d	62.00 d	52.00 d	51.00 d	44.00 d	43.00 d	42.00 d	41.00 d	37.00 d	: 	: 	: 
PC,PRG,C50,FI	: 	80.50 e	81.60 	81.40 	81.90 	82.60 	82.70 	82.90 	83.30 	83.00 	84.80 	84.80 	85.50 	84.90 	84.40 b	86.30 	87.00 	87.40 	87.90 	87.60 	87.40 	: 
PC,PRG,C50,FR	: 	42.60 	48.80 	50.30 	49.90 	50.60 	51.40 	52.00 	51.60 	52.80 	52.90 	52.30 	52.70 	52.00 	50.10 	48.50 	44.30 	37.70 	: 	: 	: 	: 
PC,PRG,C50,HR	56.00 	56.00 	60.00 	64.00 	60.00 	60.00 	60.00 	60.00 	60.00 	60.00 	57.00 	57.00 	57.00 	63.00 	63.00 	63.00 	: 	: 	: 	: 	: 	: 
PC,PRG,C50,HU	: 	33.65 	39.07 	40.02 	41.09 	41.98 	42.27 	42.08 	43.19 	44.27 	46.06 	47.13 	47.03 	45.56 	46.31 	49.23 	: 	: 	: 	: 	: 	: 
PC,PRG,C50,IE	: 	76.10 dp	71.60 d	74.30 d	73.80 d	75.10 d	74.70 d	76.50 d	70.20 d	71.40 d	74.50 d	73.90 d	75.70 d	77.40 d	75.30 d	78.10 d	76.80 d	77.10 d	79.50 d	78.40 d	: 	: 
PC,PRG,C50,IS	: 	62.00 d	61.00 d	57.00 d	57.00 d	55.00 d	58.00 d	59.00 d	59.00 d	59.00 d	58.00 d	59.00 d	61.00 d	62.00 d	62.00 d	62.00 d	61.00 d	61.00 d	62.00 d	62.00 d	62.00 d	61.00 d
PC,PRG,C50,IT	: 	51.00 	60.70 	60.50 	59.30 	60.00 	55.00 	57.00 	62.20 	57.50 	59.60 	59.20 	60.00 	60.00 	61.00 	59.60 	60.90 	59.00 	: 	: 	: 	: 
