"Category";"Mannen ";"Vrouwen"
"1990";3477;3595
"1991";3676;3742
"1992";3877;3934
"1993";3808;3991
"1994";3951;3976
"1995";4022;4004
"1996";4318;4009
"1997";4455;4080
"1998";4409;4154
"1999";4555;4355
"2000";4726;4377
"2001";4864;4361
"2002";4995;4588
"2003";5230;4799
"2004";5531;5017
"2005";5700;5101
"2006";5952;5265
"2007";6339;5448
"2008";6544;5613
"2009";6657;5657
"2010";7027;5746
"2011";7181;6031
"2012";7288;5966
"2013";7354;5715
"2014";8583;6650
"2015";9131;6821
"2016";8794;6593
"2017";8063;6442
"2018";7848;6271
"2019";6911;6000
"2020";6131;5340
"2021*";6960;5947
"2022*";6473;5541
