"doodsoorzaak";"icd10_code";"perioden";"geslacht";"leeftijd";"aantal";"aantal_per_100000";"aantal_per_100000_gestandaardiseerd";"sterfte_totaal";"percentage_van_totaal"
"Borstkanker";"C50";1980;"Mannen";" 0";0;0;0;"";""
"Borstkanker";"C50";1980;"Vrouwen";" 0";0;0;0;"";""
"Borstkanker";"C50";1980;"Totaal";" 0";0;0;0;"";""
"Borstkanker";"C50";1980;"Mannen";" 1-4";0;0;0;"";""
"Borstkanker";"C50";1980;"Vrouwen";" 1-4";0;0;0;"";""
"Borstkanker";"C50";1980;"Totaal";" 1-4";0;0;0;"";""
"Borstkanker";"C50";1980;"Mannen";" 5-9";0;0;0;"";""
"Borstkanker";"C50";1980;"Vrouwen";" 5-9";0;0;0;"";""
"Borstkanker";"C50";1980;"Totaal";" 5-9";0;0;0;"";""
"Borstkanker";"C50";1980;"Mannen";" 10-14";0;0;0;"";""
"Borstkanker";"C50";1980;"Vrouwen";" 10-14";0;0;0;"";""
"Borstkanker";"C50";1980;"Totaal";" 10-14";0;0;0;"";""
"Borstkanker";"C50";1980;"Mannen";" 15-19";0;0;0;"";""
"Borstkanker";"C50";1980;"Vrouwen";" 15-19";0;0;0;"";""
"Borstkanker";"C50";1980;"Totaal";" 15-19";0;0;0;"";""
"Borstkanker";"C50";1980;"Mannen";" 20-24";0;0;0;"";""
"Borstkanker";"C50";1980;"Vrouwen";" 20-24";0;0;0;"";""
"Borstkanker";"C50";1980;"Totaal";" 20-24";0;0;0;"";""
"Borstkanker";"C50";1980;"Mannen";" 25-29";0;0;0;"";""
"Borstkanker";"C50";1980;"Vrouwen";" 25-29";6;1,1;1,1;"";""
"Borstkanker";"C50";1980;"Totaal";" 25-29";6;0,5;0,5;"";""
"Borstkanker";"C50";1980;"Mannen";" 30-34";0;0;0;"";""
"Borstkanker";"C50";1980;"Vrouwen";" 30-34";19;3,3;3,3;"";""
"Borstkanker";"C50";1980;"Totaal";" 30-34";19;1,6;1,6;"";""
