"doodsoorzaak";"icd10_code";"perioden";"geslacht";"leeftijd";"aantal";"aantal_per_100000";"aantal_per_100000_gestandaardiseerd";"sterfte_totaal";"percentage_van_totaal"
"Baarmoederhalskanker";"C53";1980;"Mannen";" 0";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 0";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 0";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 1-4";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 1-4";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 1-4";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 5-9";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 5-9";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 5-9";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 10-14";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 10-14";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 10-14";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 15-19";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 15-19";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 15-19";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 20-24";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 20-24";1;0,2;0,2;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 20-24";1;0,1;0,1;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 25-29";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 25-29";6;1,1;1,1;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 25-29";6;0,5;0,5;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 30-34";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 30-34";4;0,7;0,7;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 30-34";4;0,3;0,3;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 35-39";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 35-39";16;3,6;3,6;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 35-39";16;1,7;1,8;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 40-44";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 40-44";14;3,5;3,5;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 40-44";14;1,7;1,8;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 45-49";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 45-49";27;7,1;7,1;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 45-49";27;3,5;3,6;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 50-54";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 50-54";28;7,5;7,5;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 50-54";28;3,8;3,8;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 55-59";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 55-59";39;10,5;10,5;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 55-59";39;5,4;5,2;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 60-64";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 60-64";41;13;13;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 60-64";41;6,9;6,5;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 65-69";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 65-69";42;14,1;14,1;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 65-69";42;7,8;7,1;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 70-74";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 70-74";38;14,7;14,7;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 70-74";38;8,5;7,5;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 75-79";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 75-79";25;12,6;12,6;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 75-79";25;7,7;6,7;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 80-84";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 80-84";32;26;26;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 80-84";32;16,6;14,6;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" 85+";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" 85+";21;26,2;26,2;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" 85+";21;16,9;17,1;"";""
"Baarmoederhalskanker";"C53";1980;"Mannen";" Totaal";0;0;0;"";""
"Baarmoederhalskanker";"C53";1980;"Vrouwen";" Totaal";334;4,7;6,8;"";""
"Baarmoederhalskanker";"C53";1980;"Totaal";" Totaal";334;2,4;3,4;"114279";"0.3"
"Baarmoederhalskanker";"C53";1981;"Mannen";" 0";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 0";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 0";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 1-4";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 1-4";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 1-4";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 5-9";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 5-9";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 5-9";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 10-14";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 10-14";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 10-14";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 15-19";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 15-19";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 15-19";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 20-24";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 20-24";1;0,2;0,2;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 20-24";1;0,1;0,1;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 25-29";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 25-29";2;0,4;0,4;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 25-29";2;0,2;0,2;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 30-34";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 30-34";4;0,7;0,7;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 30-34";4;0,3;0,3;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 35-39";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 35-39";11;2,3;2,3;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 35-39";11;1,1;1,2;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 40-44";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 40-44";13;3,2;3,2;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 40-44";13;1,6;1,6;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 45-49";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 45-49";21;5,6;5,6;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 45-49";21;2,7;2,8;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 50-54";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 50-54";40;10,7;10,7;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 50-54";40;5,4;5,3;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 55-59";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 55-59";34;9,2;9,2;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 55-59";34;4,8;4,6;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 60-64";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 60-64";39;12;12;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 60-64";39;6,3;6;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 65-69";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 65-69";37;12,3;12,3;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 65-69";37;6,8;6,2;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 70-74";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 70-74";54;20,7;20,7;"";""
"Baarmoederhalskanker";"C53";1981;"Totaal";" 70-74";54;12;10,6;"";""
"Baarmoederhalskanker";"C53";1981;"Mannen";" 75-79";0;0;0;"";""
"Baarmoederhalskanker";"C53";1981;"Vrouwen";" 75-79";44;21,6;21,6;"";""
