"doodsoorzaak";"icd10_code";"perioden";"geslacht";"leeftijd";"aantal";"aantal_per_100000";"aantal_per_100000_gestandaardiseerd";"sterfte_totaal";"percentage_van_totaal"
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 20-24";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 20-24";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 20-24";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 25-29";4;0,7;0,7;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 25-29";1;0,2;0,2;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 25-29";5;0,4;0,4;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 30-34";8;1,3;1,3;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 30-34";7;1,2;1,2;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 30-34";15;1,2;1,2;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 35-39";10;2,1;2,1;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 35-39";7;1,6;1,6;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 35-39";17;1,8;1,8;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 40-44";15;3,6;3,6;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 40-44";19;4,8;4,8;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 40-44";34;4,2;4,2;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 45-49";44;11,4;11,4;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 45-49";41;10,8;10,8;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 45-49";85;11,1;11,1;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 50-54";63;17,5;17,5;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 50-54";81;21,8;21,8;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 50-54";144;19,7;19,6;"";""
"Dikkedarmkanker";"C18-C21";1980;"Mannen";" 55-59";99;28,8;28,8;"";""
"Dikkedarmkanker";"C18-C21";1980;"Vrouwen";" 55-59";122;32,7;32,7;"";""
"Dikkedarmkanker";"C18-C21";1980;"Totaal";" 55-59";221;30,8;30,7;"";""
